uuid;Fullname;sex;meters;kilogramm
70187035-740a-4847-a48d-2756b6154608;Tyron Vogelgsang;male;1.47;140
47bed6c4-4c34-44f2-9fde-4487b525dfda;Alea Kleininger;female;1.44;145
6acdd030-0200-46bc-8c27-63a3560d3b31;Cecile Caspari;female;1.51;151
7566db02-ea7c-4f81-8187-550d3c30866d;Marlon Bohge;male;1.91;62
90f899b9-a5c7-4a37-96cb-78653985eabb;Aliya Jander;female;1.03;156
438d16a6-9d54-4c10-9f5f-9b5f52b1f962;Asya Steuk;female;1.78;80
bfdcb01a-7214-4f9d-9799-7f130227bc49;Prof. Dr. Rosalie Abramovic;female;1.82;72
1b7748ee-a616-42bd-a59a-3e349b10f1db;Rania Hache;female;1.25;140
603de822-62d2-47bc-b470-b3a3bdb0fc26;Mirac Gauder;male;2.16;162
70746f14-8ac1-4532-a446-8a18aa2cc61a;Marah Többen;female;1.9;89
412afd59-ff5d-491c-a7c4-bbaa82a91de8;Klemens Ganzmann;male;1.56;108
b9b147eb-7ec6-4ae0-8460-642e42f29f75;Jolin Vogel;female;1.07;154
efd104b5-4f73-4573-88a8-c472ebe12813;Leonardo Neimke;male;1.38;153
0e17b6e9-ae27-450d-9948-f638d6601c05;Thorben Ruch;male;1.53;131
af19383f-cb1a-4272-90cb-24e0cca85ebf;Caroline Huckestein;female;2.19;117
ccd230d7-da72-4526-ba52-0fb715363d47;Jamila Scherbarth;female;1.22;149
44c75032-0b9a-429d-9fbe-e7eef3a4dce8;David Michallek;male;1.33;95
3b3466d1-fbee-40cb-9dcb-84ddd9a6f07c;Joris Brandenburg;male;1.56;96
88a1e5b2-d1ed-4dce-835e-b15b490c7e7a;Jessica Rietscher;female;1.48;116
6053b7d8-33dc-43c5-b8b9-3b135fad4808;Levi Berner;male;1.41;63
2d93a611-bb45-4ff7-908b-7acf2b64ff3b;Alex Jaros;male;1.65;109
3722d7f4-c7ed-4a96-84f3-16580cd86ca2;Annalena Leyckes;female;1.95;81
0d4e2a0e-7dd1-43f8-8d46-888b7ed4da2a;Xenia Wezel;female;1.21;93
f15fe7fd-8db2-44b8-a7e9-0e9c9f17ae20;Edgar Schwalm;male;1.66;158
6d4d33c8-1207-4f69-80bb-1295cc6dee5e;Justus Lichtl;male;1.38;145
dd442b23-4eae-4e09-bed6-7cec9cce3793;Joline Buschbaum;female;1.77;76
7c8ca0a0-230c-4908-a3b9-366fd77585c4;Fynn Jander;male;1.84;138
e4628180-e914-4369-ae15-f3cde4193ba7;Gian Cierpinski;male;1.62;141
d01e5992-dbf7-4fca-bef0-c1302b58a9d4;Caroline Sporrer;female;1.4;80
546cde7f-7323-40e5-b188-506182071607;Carla Stern;female;2.22;96
a0058e70-bc2c-4c4f-bbe6-db4c0b0019f9;Marisa Wiebe;female;1.93;156
6d7c23bb-4fa6-4b51-a28e-2c00d4a08213;Medina Ganzmann;female;2.21;54
25b55cc8-339c-480f-be7c-090d31861fa3;Matti Grotke;male;1.01;63
a29d33d7-33a4-4952-9eda-3172c2091f9a;Josie Pietsch;female;1.12;37
9b53578e-9c51-49d7-9c22-70b9e7d27dcd;Elena Hahn;female;1.8;51
0ab13fd8-8bde-49f8-ba76-b7b64443e57b;Luise Thust;female;1.93;120
1c1e44a3-8916-4598-bbea-7831d70545ee;Josie Knorscheidt;female;1.11;142
e07d38c4-e2cb-45b2-a0d9-b6aad708c37d;Anton Dethloff;male;1.56;47
089d9f9b-1e90-4708-b55e-7126f5241807;Jolina Überacker;female;1.48;82
30023d34-6973-4d18-8967-85baa9d780b9;Taha Mensah;male;1.19;132
e7578f51-5c6e-45c2-ab98-46b9d76dc412;Valentino Wezel;male;1.66;94
9983e3a4-3d70-4770-8d63-afcf0b9f4613;Domenic Mesloh;male;1.08;39
d112df6d-e85d-4433-8806-cae4a83a2699;Mateo Frahmeke;male;1.94;144
79bfc18a-6925-4d94-9d07-cb6febac03bc;Carlotta Pottel;female;1.9;129
b60a71a5-a22b-47dc-8642-8f16edb48d33;Summer Heck;female;1.29;62
6dfc51f1-2a9a-47b9-a124-5538f8952114;Alexander Suthe;male;1.99;50
c5480a89-3cb1-4e09-b0ea-5e85e5477a1e;Henry Rau;male;2.26;37
44782901-c17b-4701-945d-75716a3df85e;Nico Morhelfer;male;1.91;41
040d6a62-8fff-47ea-91f3-e55aeb2f4287;Angelo Benner;male;1.75;71
911b2cd3-f117-4e79-a705-d4ca9ea3354c;Lionel Lokar;male;1.99;98
f66c8891-8cb4-49d4-8464-e8ba17cc27c1;Immanuel Van;male;1.06;66
ffc55b95-a191-40f4-b067-098613e96e03;Dr. Tuana Nabow;female;1.46;50
9bbd07f5-5657-4b55-9c5c-2bfd1c2d656e;Cedrik Klauder;male;2.03;106
0230f8e3-820c-4f47-92fd-e9cad35ec9dc;Lewin Richards;male;2.24;76
6e35b227-1064-4cf3-84f9-eec9e71884c5;Charleen Kufahl;female;1.31;119
725c7943-b528-4d59-9cb4-f3a85d0b80b3;Darren Kampschulte;male;1.45;132
c5efac07-f12a-4814-b4ce-1276de8e990e;Herr Phil Friess;male;1.89;112
98b8f31a-491e-4fd2-adbe-7ebf3cd37214;Letizia Schmalzle;female;2.17;139
9db11fa3-ee1d-4528-aea3-16439714af2f;Maddox Olbrich;male;1.01;59
9c724cba-8805-4234-b34b-8b491a87604b;Ylvie Rother;female;1.98;116
ea120b6a-71a2-4601-9edc-657ed82fb613;Cem Rittweg;male;1.95;111
d4a8fe2e-9d30-4054-81a0-5e05b5c9995f;Lyn Tucholke;female;1.7;148
84d7c8e6-aef8-49df-a871-a7a35386b046;Selin Pogorzelski;female;1.11;41
c3fb6f92-5892-4656-9b67-308b11ca2dd5;Lars Hassfeld;male;1.23;135
838e919e-27f2-4d03-9dde-33952bd3b70a;Lilith Rahn;female;1.56;61
9fb29de7-ac52-4a66-bb34-962907c2e458;Mona Görlich;female;1.69;61
7443f298-b50d-47d3-8f00-e67d3a886673;Tomke Herweg;female;1.37;149
b06ddf9e-0ec0-4060-b8aa-a61682a7e9de;Fabien Sillah;male;1.34;157
e2696a7a-177c-4554-997c-61d7902c000e;Andrew Fink;male;1.06;123
8db0ef3c-7668-4579-8281-51d8fd995bd7;Lian Gehre;male;1.36;87
61bad721-4901-4735-8912-80d67b3a743d;Alea Zinser;female;2.06;102
a2120f60-ca6f-49be-a210-0bfe5ee44f6b;Frederik Kowalinski;male;1.46;121
7728ec36-33d8-484a-8a0b-375108b8070f;Herr Milo Denner;male;2.08;142
4154559e-44f8-4ee7-8830-2ca015a5c4e7;Prof. Dr. Hanna Winter;female;1.83;146
e8255d76-40b0-4590-b1ad-b4f632ef3f56;Prof. Dr. Chiara Schmitt;female;2.22;145
17b8c11d-b1a7-4c2b-829d-b2c86a00cc03;Dr. Ole Büchele;male;1.8;77
c227ad2a-49a2-4967-9472-6990a2b3a330;Johannes Naubert;male;2.15;139
5e749fb4-2c8f-498a-8ba6-171b2b491dfe;Kerem Lausecker;male;1.3;134
beeb0840-160f-463d-828f-6b3b2b6ac462;Herr Joshua Esser;male;2.19;67
80ba586e-57f6-486a-b41b-50f47160cf0b;Patricia Montag;female;2.12;138
91dac46c-621e-463f-8113-bb8011a15930;Simon Eckhardt;male;1.33;132
67bcfaf0-e2f3-46e4-b973-623260deeff2;Dustin John;male;1.86;47
32027266-ff5f-4663-bf84-5d1ac4fcaa1b;Lisanne Sauerland;female;1.56;47
0b2fabad-2d1e-4a8f-a49f-a63797eba4a6;Dr. Lili Stepanov;female;1.15;70
68810a4f-610e-4a5b-930b-2a1605f1769f;Lucian Polizzi;male;1.71;131
f5c1aae5-6653-4c00-ac74-9a3307e08f74;Sidney Gummelt;female;1.49;98
6e06003a-63f4-4495-9b55-0f45e3f829a3;Markus Dengler;male;1.91;72
c9c4914f-8998-4bdd-8b60-4de70c56675a;Charlotte Minah;female;1.97;38
d3f2fde7-2a3e-4e16-ac9f-17a1b0f42bc4;Prof. Dr. Silja Pietsch;female;1.6;100
e69da3c7-bd75-40fd-bb02-ac0b6350a295;Edwin Ryzih;male;1.65;37
bc689865-472b-43f8-8115-8f061878f9be;Kilian Huckestein;male;1.09;142
0a28e9c0-8672-4bf2-9468-18e923a6d746;Mailin Goy;female;2.28;125
e2083823-bf69-41f4-abce-e77de765a591;Alexandra Schaefer;female;2.04;141
f2338dfe-ea52-42ec-bb89-128bfe653267;Giulia Timmermann;female;1.08;105
204268e4-452b-4969-bb35-000f122b4f87;Dr. Susanne Reiber;female;2.25;94
2c038131-82a2-4f64-bbbd-960575c7cc1a;Philipp Geissler;male;2.04;114
05078f6f-a87c-42d8-8b19-8e725d7ec96f;Enno Hingsen;male;1.35;90
95071cb2-d0ef-4925-a133-21b9808a174a;Jonte Gratzky;male;1.58;153
9058e54d-7db3-45eb-8aab-acfb4819fc44;Betty Garatva;female;1.56;112
b40d6592-05ce-4996-b97f-7efc800b493c;Mieke Feuerbach;female;1.16;113
d9a680fd-9f9a-43e7-8b8f-1de2041ce2bb;Thies Jellinghaus;male;2.11;96
8e1c3d07-3e1a-4481-86a2-8052f72d76b8;Alyssa Reppin;female;1.27;112
6b16e8a7-3603-44b8-a910-3ea73f4c9b18;Jannek Schlawitz;male;2.33;109
56200a38-e443-4a89-9f37-b55467852248;Frederick Kahles;male;2.27;89
e0982797-f66c-4fa6-8f3c-73824b5ee173;Finnley Schweisfurth;male;2.25;110
f95f33a5-2c79-4599-8f90-553922394105;Michelle Hargasser;female;1.35;122
04cbc5d3-5f3c-44a2-9204-f59db5049d0c;Caroline Restle;female;1.74;85
16106817-6c09-48b2-bd0f-67fb88d6af52;Alena Kazmarek;female;1.09;146
219d50e5-ab39-4641-8f8e-f57be35f1246;Aliya Sommer;female;1.5;52
e315cc85-a629-455f-be78-309c9240f19a;Prof. Dr. Anneke Rautenkranz;female;1.76;135
567a5669-5f68-42cf-bfc0-6b442827f7cf;Josefin Stoutjesdijk;female;1.19;140
61a9dc05-be1c-4557-ae4e-997a968d3a6c;Lily Edorh;female;1.04;153
cd21dd9e-689b-4c4e-b6af-486cb8048c2f;Nino Krippner;male;1.73;87
14021b99-a44a-444c-a4f4-d2eca00d08ed;Lisanne Szendrei;female;2.03;133
6e87ab65-d08f-4953-8f0d-2cd6d25af8b2;Oscar Koob;male;1.1;169
2e0381d9-b801-4238-98fd-1e1417a9cac5;Joey Schenk;male;1.6;49
ceb1e6c4-95fd-4a31-88af-0bbc366bc97c;Evelyn Forkel;female;1.81;119
2a7262b0-6962-4970-afae-c53362408c02;Thomas Balnuweit;male;1.5;48
a153b544-f515-46c9-8af2-ac73becddd42;Joanna Daudrich;female;1.54;124
51b3ff46-53bd-4d1a-bba7-1b881dc3c34d;Maria Scheuring;female;2.29;39
1f8e1ad5-bb68-4342-b90f-8037308d5a05;Andreas Dautzenberg;male;1.46;46
a14fa749-dd51-46a0-acd6-d271f51b34b8;Brandon Schupp;male;1.8;70
1eb40c7d-07f8-4dd7-a62c-96db400d243e;Prof. Dr. Gerrit Raubuch;male;1.95;152
9e0111ab-3989-4409-830e-b2bfbcb14eb8;Artur Manz;male;1.87;168
df16ed78-f073-4554-992a-f8d8316411a1;Sidney Kröckert;female;1.38;92
f5360632-0129-4e70-87c8-1fd800c91c77;Prof. Dr. Samira Grundmann;female;1.45;127
a9b24fd9-57fe-4ff0-9424-458a1733e2e5;Francesco Aschenbroich;male;1.7;115
15327cdd-fccd-4a13-a95a-2fe7ae602caa;Mira Mallmann;female;1.5;78
b5926402-fed1-43d2-9714-1cbd05d43aa3;Arne Wichmann;male;1.12;120
f8d5f5c4-ca0e-4a21-8aef-e293dd0f1317;Bianka Sujew;female;1.52;88
dc19b027-674f-4a56-bb6c-96763148040b;Enrico Herwig;male;1;46
bf70ae9c-5698-4c91-a08e-91c7ad2fdbb6;Jordan Hohl;male;2.21;75
c3abdb5d-98b9-48b4-ab77-821a0ef2e3af;Prof. Dr. Nelson Greger;male;1.03;91
28348f34-af9e-4c98-a826-42c6d9e39619;Cora Riermeier;female;1.63;128
28e53f29-12bd-45dc-896c-32646cd095b9;Dr. Samuel Grothaus;male;1.25;64
4278631d-bfd5-4eb5-8321-641d6cfd54ef;Dr. Anja Gamper;female;1.13;39
59c84b56-da54-48ee-b2bf-56e426ffdf75;Matthias Faller;male;1.88;146
d08d39e3-91ee-4d57-acde-a4d780bd9f1d;Dr. Madita Tschirch;female;1.9;61
13ce79b1-088c-48b6-831a-d72f9da53099;Lotta Sauer;female;1.29;62
19743e66-8574-4793-a0f6-d3723fc2ca9e;Ismael Schnieder;male;1.35;82
7bc926f8-a339-447d-9e35-0d3e04babbd8;Jesse Lausecker;male;1.24;134
e8b58058-9224-4b56-8c0e-87355b54212f;Dr. Selina Frosch;female;1.19;67
4cdbc463-8bb3-4d07-ac99-be6de07c5292;Sanja Scherbarth;female;1.65;45
e05e9c07-07a4-4266-9dd9-4fed3fc0b47a;Herr Tammo Franzis;male;1.67;118
537dec6b-b212-4810-afeb-677faf857671;Tuana Gakstädter;female;1.51;84
862a047c-6443-4899-91fc-d448b4fcd307;Magnus Zach;male;2.25;49
5ffb4f6a-8890-4578-ab20-ead43c3786f7;Theo Spiegelburg;male;1.19;149
c6f2b207-efd8-485d-af81-7b67824e1517;Ege Schersing;male;1.53;86
dd0aff1b-e4a2-46df-934c-5796366c5727;Keanu Ranz;male;1.68;90
c308b4d6-b8ed-4186-b082-7f061171e3fd;Mandy Brettschneider;female;1.42;66
2310a361-d548-4ea8-8263-199fb6c76b11;Asya Hohenberger;female;2.34;116
60d08ec2-3e03-472d-955c-8abe1d252edb;Alexa Huber;female;2.2;126
b4cb22bf-ab25-44db-a403-f043bc0426a8;Alisha Ehmann;female;1.51;46
9b934416-a11b-4c72-bb8b-895c4d2be598;Theresa Schwab;female;1.08;133
a7ec8c6a-d7cc-40cb-beb2-407340b510e8;Vincent Grasse;male;1.75;140
34c5bc43-8b65-4d3d-98b5-e7fed777e276;Alia Dörner;female;1.65;108
fc394ef0-c03b-4bec-a2c1-800f2a4b450f;Leana Rossberg;female;1.84;114
f6d92601-1c0b-42d4-b14a-a7801d12e2ac;Valerie Steinmetz;female;2.15;162
bf060a30-78bb-4af2-99fa-9eea31135c56;Paulina Walz;female;1.65;126
63d577f8-20a5-4aba-b28e-239fdaad0426;Ilja Porth;male;1.6;114
90d47907-96e5-40f7-bc48-c39573e5b94a;Dr. Toni Huls;male;1.79;167
c570fed7-0261-4266-84e6-65febeb5b3fe;Melissa Huke;female;1.24;35
4ba334d4-d8b8-4697-a789-ac811f3524ff;Delia Nwachukwu;female;1.91;140
a927d902-c2d5-41cb-ace6-ba8709d40c95;Alyssa Komoll;female;1.85;130
82e0ed37-686d-4b25-b8ea-60c3c18c9fa3;Jolina Jakubczyk;female;1.7;167
52dee07d-ce03-4e8f-8fbb-5414165ad23b;Inga Henry;female;2.15;60
99e0ee25-be41-4577-9668-0deb1e2a8f33;Kalle Hommel;male;1.7;43
23d753ec-0623-4800-ad1a-31f336afc8a5;Ibrahim Welzel;male;2.17;75
116b7a1a-d919-4402-9ac9-aa735ca4f275;Leni Anggreny;female;1.28;111
f6a7af07-6052-4206-ab72-ed0b5a4ab889;Liana Dobler;female;2.32;139
c9473cf1-9123-42a7-8b59-f0a97ab4086b;Leann Brand;female;1.39;113
45bf3669-f481-490f-9145-c54b9500c598;Ida Zauber;female;1.02;102
75928015-c23b-4f96-b091-9a4031effde3;Franziska Albert;female;2.06;92
733a7e2a-0a1d-4a56-9e80-d839fe76e6f2;Smilla Mathies;female;1.8;154
f8786a1d-4c28-4642-826d-a50b8b43c738;Jakob Salow;male;1.99;148
ca7c8a2a-37c6-4fd4-8c9d-6f488c586a4e;Ina Noack;female;2.04;39
b869ca73-d12e-4094-96ef-7c29890d599f;Leon Krauel;male;1.92;130
aa52468c-c7b3-43ba-ab0d-5fd279f9c9d6;Chayenne Wolf;female;1.69;133
8df3179f-d44b-4566-9e88-8ae41be58541;Ali Lischka;male;1.97;145
68cfd476-9de1-459e-9c2b-b741c53f6fbf;Zoe Nau;female;1.76;146
eb07e320-5813-49ee-bca9-80ea19686cc8;Tiago Teufel;male;1.13;77
dec2d1f2-a4c0-40e1-9811-a9f5a184073a;Julien Wünsche;male;1.48;47
6ee773a0-c490-4e1d-9390-da06f668f54b;Lyn Rosenauer;female;1.19;165
8f883d2f-2e6b-4571-a3e9-a03e2657b2ef;Christoph Molzan;male;2.25;49
f74f7d69-386f-46a7-afcf-e81b6899a07b;Frida Kühnemund;female;1.2;77
9fbebff8-e474-4edd-8aa1-92d17e911537;Naemi Herweg;female;2.04;144
b8884381-04e3-4e9c-95d8-27d6f50b3e3e;Marieke Engel;female;2.12;81
68bccccf-9284-4189-b4c9-a2b061adabd7;Sude Vahlensieck;female;2.05;38
ff97c698-fa47-4018-9e62-ae2cc274e2a4;Franka Beh;female;1.89;160
7c83cc34-4d04-4c32-b60b-892a08db1222;Adrian Moguenara;male;1.42;158
d6d64eb5-7a6e-49ee-9a6f-0f659ea47fbe;Angelo Kubera;male;1.76;143
47f744a3-a667-4132-9e13-b22674e3eafe;Frau Karoline Ahrenberg;female;2.24;153
c2a335c4-c6e2-4b2f-bb47-05c9d59370a8;Emirhan Terlecki;male;2.17;53
fac1a7f1-cd9e-41be-b233-658fc1e91c13;Eleonora Rücker;female;2.19;145
a4c3a343-f162-40c3-bbd6-6797cf454c4b;Lennert Rautenkranz;male;1.14;40
d3a9eb8b-208f-4dab-a76c-0b7c564d1fbd;Abigail Grosser;female;2.21;130
1900386c-7aa5-49bb-ba9f-9c60b785bb7c;Lorenzo Huhn;male;1.65;164
802e0165-62d5-446c-a2ad-636aaf8f7653;Frederik Thränhardt;male;1.06;111
1815da20-b45c-498a-962e-bb7147a28de5;Meryem Piesker;female;1.37;95
b8f4b1d9-51ad-4354-be7b-038b347dc0fd;Jaron Ripken;male;1.2;132
f16a1db2-5a17-41e5-b013-0580bdf1082f;Maya Grube;female;2.27;83
08ce7164-951c-4677-b2ca-a2192b6b7ae2;Louis Krodinger;male;2.12;133
ad9692b2-fac7-4c82-8892-6ee6d2c873c4;Aaron Bringmann;male;1.48;118
bddc615d-a6e5-4b34-8bb8-64c082699d26;Falk Huth;male;1.72;131
fa80071e-2cb3-406b-a7a4-f2df431a615c;Melek Kuhlee;female;2.28;79
701860a4-bb19-479d-9dc6-0e236ff02d4d;Ellen Damaske;female;1.7;88
3d40d52b-9276-42d1-be40-6cdba526b835;Femke Hahn;female;2.04;101
2399830e-7fdf-424b-85da-5b2081983510;Abdul Schott;male;1.25;64
c337e1de-96b8-4fe4-b901-de861fa7d891;Dean Muller;male;1.92;64
b72cb308-470b-4ad8-8ccb-df8128dc2f37;Milena Schmid;female;2.06;68
d07ca20f-9d5b-4056-854c-bf4c3985a305;Magdalena Goldbeck;female;2;77
be1b8bec-4516-4187-8ed8-441137bac490;Fine Dippl;female;1.43;118
4a64828a-2c5c-4df8-bc5f-b92cb333a6ad;Ismail Kick;male;1.92;91
a0e2fcca-783b-459c-8f32-19f0a10caf3f;Linn Hessek;female;2.29;36
34774397-fd5d-490a-ba6c-e8d6b51f3380;Nico Reichling;male;1.24;119
980ea744-c59e-4b41-96b8-ae2f63c00487;Arthur Pohle;male;1.89;42
78dd5c32-7c9c-4b7a-a373-2132384802d4;Rebekka Günz;female;1.81;89
72510495-6015-4551-a12d-10d533eed05e;Joleen Hassfeld;female;1.97;65
3fe6263f-1874-4154-a69f-6f649f3ac8d7;Lukas Hesse;male;1.22;127
a8aca05c-c496-4487-8006-e67ae4a8d2f2;Oskar Michel;male;1.1;60
f0aefe37-9ec6-4aed-aad0-754d1aa49269;Prof. Dr. Janne Blassneck;male;2.04;137
310a2508-cf4c-4d1f-9bdf-f3337d37e145;Charlotte Jungton;female;1.38;128
fc4a1ec6-5af9-49b3-8f0d-7eec0130f634;Rosa Von;female;2.31;138
8ffb8ce8-230a-4491-80d4-5f1f3945791d;Sammy Kastner;male;1.02;48
8f0a305c-8a01-478d-85ec-f33136b10d42;Arved Onnen;male;1.15;163
be499a86-f094-4d28-9127-2414311cc62d;Lilli Fischer;female;1.17;78
a4b23bd6-7faa-49b0-8b37-fadcb06692ff;Samuel Löser;male;2.16;170
c028b5f8-598e-48da-938a-c5e049a421cb;Jenny Just;female;1.94;160
b67f46ed-a24e-4d90-a43b-821a0e521690;Marlene Unterpaintner;female;1.02;75
84044a6f-746a-41c6-867d-a14ed463851a;Nicole Savoia;female;1.28;108
df23f842-af3f-44af-af5b-7a4395c4f8a9;Mario Huke;male;1.43;51
fee0f15d-02c0-4035-a8f9-28d0049a1008;Cheyenne Jakubczyk;female;1.35;87
8f5975a7-9037-442e-9c7d-72817a222f50;Rocco Northoff;male;2.2;86
96a887ab-8e2f-46d3-8bc3-402799d2676d;Bjarne Feuerbach;male;1.82;109
9976e3ba-b4a0-45da-8bcb-e7e6f1fbed19;Maria Mintzlaff;female;2.01;64
9f271ecd-cfe9-409c-88af-ea9a7db112d0;Ina Spiegelburg;female;2.09;82
27b06f97-d808-40d6-a030-03fe2de22228;Laurin Mattern;male;1.79;105
0304f5e5-fb21-4d53-8b14-cdf2016055a8;Mara Kleinmann;female;2.15;170
1ac42592-424a-4bd3-8d40-04e8b9364493;Jens Jakobs;male;1.7;100
ec51abd0-4f95-48f1-ab65-80b0a449def8;Mert Wiegelmann;male;1.71;139
c057db42-b770-46ac-8e1a-74800585502a;Cosima Schacht;female;1.54;56
b1c37076-023e-4bb2-9db5-66f483ea7d58;Paula Ghosh;female;1.66;152
7ff56175-4115-47c6-84f9-d803ed4640c3;Marleen Dienel;female;2.14;52
